0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
0.0,1.0,0.0
1.0,1.0,0.0
2.0,1.0,0.0
3.0,1.0,0.0
0.0,2.0,0.0
1.0,2.0,0.0
2.0,2.0,0.0
3.0,2.0,0.0

0.0,0.1,0.0
1.0,0.05,0.0
2.0,0.0,0.0
3.0,-0.05,0.0
0.0,1.1,0.0
1.0,1.05,0.0
2.0,1.0,0.0
3.0,0.95,0.0
0.0,2.1,0.0
1.0,2.05,0.0
2.0,2.0,0.0
3.0,1.95,0.0

0.0,0.15,0.0
1.0,0.1,0.0
2.0,0.05,0.0
3.0,0.0,0.0
0.0,1.15,0.0
1.0,1.1,0.0
2.0,1.05,0.0
3.0,1.0,0.0
0.0,2.15,0.0
1.0,2.1,0.0
2.0,2.05,0.0
3.0,2.0,0.0

0.0,0.1,0.0
1.0,0.15,0.0
2.0,0.1,0.0
3.0,0.05,0.0
0.0,1.1,0.0
1.0,1.15,0.0
2.0,1.1,0.0
3.0,1.05,0.0
0.0,2.1,0.0
1.0,2.15,0.0
2.0,2.1,0.0
3.0,2.05,0.0

0.0,0.05,0.0
1.0,0.1,0.0
2.0,0.15,0.0
3.0,0.1,0.0
0.0,1.05,0.0
1.0,1.1,0.0
2.0,1.15,0.0
3.0,1.1,0.0
0.0,2.05,0.0
1.0,2.1,0.0
2.0,2.15,0.0
3.0,2.1,0.0

0.0,0.0,0.0
1.0,0.05,0.0
2.0,0.1,0.0
3.0,0.15,0.0
0.0,1.0,0.0
1.0,1.05,0.0
2.0,1.1,0.0
3.0,1.15,0.0
0.0,2.0,0.0
1.0,2.05,0.0
2.0,2.1,0.0
3.0,2.15,0.0
